latitude,longitude,Stop Name,Stop Status
40.696092,-73.991116,TILLARY ST/CADMAN PZ E,at stop
40.691342,-73.987107,FULTON ST/JAY ST,at stop
40.699488,-73.923951,DE KALB AV/WILSON AV,at stop
40.687227,-73.976767,FULTON ST/LAFAYETTE AV,at stop
40.706005,-73.913102,SENECA AV/HARMAN ST,at stop
40.690313,-73.960532,DE KALB AV/CLASSON AV,at stop
40.6897,-73.974742,DE KALB AV/S PORTLAND AV,at stop
40.695928,-73.99107,CADMAN PLZ W/TILLARY ST,at stop
40.690832,-73.985801,FULTON ST/HOYT ST,at stop
40.690552,-73.945416,LAFAYETTE AV/TOMPKINS AV,approaching
40.690906,-73.986001,FULTON ST/HOYT ST,approaching
40.698319,-73.925104,DE KALB AV/MYRTLE AV,approaching
40.712789,-73.915319,STARR ST/METROPOLITAN AV,approaching
40.697811,-73.925595,DE KALB AV/MYRTLE AV,approaching
40.695812,-73.927575,DE KALB AV/BUSHWICK AV,approaching
40.687701,-73.970117,LAFAYETTE AV/VANDERBILT AV,approaching
40.691895,-73.988518,JORALEMON ST/COURT ST,< 1 stop away
40.694332,-73.990589,CADMAN PLZ W/TILLARY ST,< 1 stop away
40.692929,-73.937739,DE KALB AV/MARCUS GARVEY BL,< 1 stop away
40.70624,-73.913498,SENECA AV/DE KALB AV,< 1 stop away
40.690801,-73.956192,DE KALB AV/CLASSON AV,< 1 stop away
40.696749,-73.926638,DE KALB AV/BROADWAY,< 1 stop away
40.689932,-73.963841,DE KALB AV/VANDERBILT AV,< 1 stop away
40.690561,-73.945337,LAFAYETTE AV/MARCUS GARVEY BL,< 1 stop away
40.688029,-73.967298,LAFAYETTE AV/CLASSON AV,< 1 stop away
